# Nx1  Nx2  Nx3  Ncycle  r0_L1  r1_L1  r0_max  r1_max  cons_L1  
32  1  1  54  1.715085e-02  8.575423e-03  1.157047e-01  5.785233e-02  6.678685e-14
64  1  1  107  6.200526e-03  3.100263e-03  5.792164e-02  2.896082e-02  1.316221e-13
128  1  1  214  2.027183e-03  1.013592e-03  2.348819e-02  1.174410e-02  1.399705e-13
256  1  1  427  6.394358e-04  3.197179e-04  8.680631e-03  4.340316e-03  1.657203e-13
512  1  1  854  2.151010e-04  1.075505e-04  3.684027e-03  1.842014e-03  1.323540e-13
1024  1  1  1707  1.533666e-04  7.668331e-05  2.041699e-03  1.020849e-03  3.227128e-13
