# Nx1  Nx2  Nx3  Ncycle  r0_L1  r1_L1  r0_max  r1_max  cons_L1  
32  1  1  54  1.715486e-02  8.577430e-03  1.158956e-01  5.794779e-02  4.034099e-12
64  1  1  107  6.186383e-03  3.093191e-03  5.822470e-02  2.911235e-02  5.948150e-12
128  1  1  214  2.002756e-03  1.001378e-03  2.382675e-02  1.191338e-02  9.263857e-12
256  1  1  427  6.131742e-04  3.065871e-04  9.201716e-03  4.600858e-03  1.665887e-11
512  1  1  854  1.671160e-04  8.355801e-05  3.481849e-03  1.740924e-03  2.968643e-11
1024  1  1  1707  4.316737e-05  2.158369e-05  1.306140e-03  6.530702e-04  4.821749e-11
