#1:iter      2:time       3:P-x-1      4:P-y-1      5:P-z-1      6:P-x-2      7:P-y-2      8:P-z-2      
47           1.17500e+01  -2.87510e+18 1.04705e+16  -1.68842e+16 inf          -inf         -inf         
48           1.20000e+01  -2.87510e+18 1.04705e+16  -1.68842e+16 inf          -inf         -inf         
49           1.22500e+01  -2.87510e+18 1.04705e+16  -1.68842e+16 inf          -inf         -inf         
50           1.25000e+01  -2.87510e+18 1.04705e+16  -1.68842e+16 inf          -inf         -inf         
51           1.27500e+01  -2.87510e+18 1.04705e+16  -1.68842e+16 inf          -inf         -inf         
52           1.30000e+01  -2.87510e+18 1.04705e+16  -1.68842e+16 inf          -inf         -inf         
53           1.32500e+01  -2.87510e+18 1.04705e+16  -1.68842e+16 inf          -inf         -inf         
54           1.35000e+01  -2.87510e+18 1.04705e+16  -1.68842e+16 inf          -inf         -inf         
55           1.37500e+01  -2.87510e+18 1.04705e+16  -1.68842e+16 inf          -inf         -inf         
56           1.40000e+01  -2.87510e+18 1.04705e+16  -1.68842e+16 inf          -inf         -inf         
57           1.42500e+01  -2.87510e+18 1.04705e+16  -1.68842e+16 inf          -inf         -inf         
58           1.45000e+01  -2.87510e+18 1.04705e+16  -1.68842e+16 inf          -inf         -inf         
59           1.47500e+01  -2.87510e+18 1.04705e+16  -1.68842e+16 inf          -inf         -inf         
60           1.50000e+01  -2.87510e+18 1.04705e+16  -1.68842e+16 inf          -inf         -inf         
61           1.52500e+01  -2.87510e+18 1.04705e+16  -1.68842e+16 inf          -inf         -inf         
62           1.55000e+01  -2.87510e+18 1.04705e+16  -1.68842e+16 inf          -inf         -inf         
63           1.57500e+01  -2.87510e+18 1.04705e+16  -1.68842e+16 inf          -inf         -inf         
64           1.60000e+01  -2.87510e+18 1.04705e+16  -1.68842e+16 inf          -inf         -inf         
65           1.62500e+01  -2.87510e+18 1.04705e+16  -1.68842e+16 inf          -inf         -inf         
66           1.65000e+01  -2.87510e+18 1.04705e+16  -1.68842e+16 inf          -inf         -inf         
67           1.67500e+01  -2.87510e+18 1.04705e+16  -1.68842e+16 inf          -inf         -inf         
68           1.70000e+01  -2.87510e+18 1.04705e+16  -1.68842e+16 inf          -inf         -inf         
69           1.72500e+01  -2.87510e+18 1.04705e+16  -1.68842e+16 inf          -inf         -inf         
70           1.75000e+01  -2.87510e+18 1.04705e+16  -1.68842e+16 inf          -inf         -inf         
71           1.77500e+01  -2.87510e+18 1.04705e+16  -1.68842e+16 inf          -inf         -inf         
72           1.80000e+01  -2.87510e+18 1.04705e+16  -1.68842e+16 inf          -inf         -inf         
73           1.82500e+01  -2.87510e+18 1.04705e+16  -1.68842e+16 inf          -inf         -inf         
74           1.85000e+01  -2.87510e+18 1.04705e+16  -1.68842e+16 inf          -inf         -inf         
75           1.87500e+01  -2.87510e+18 1.04705e+16  -1.68842e+16 inf          -inf         -inf         
76           1.90000e+01  -2.87510e+18 1.04705e+16  -1.68842e+16 inf          -inf         -inf         
77           1.92500e+01  -2.87510e+18 1.04705e+16  -1.68842e+16 inf          -inf         -inf         
78           1.95000e+01  -2.87510e+18 1.04705e+16  -1.68842e+16 inf          -inf         -inf         
79           1.97500e+01  -2.87510e+18 1.04705e+16  -1.68842e+16 inf          -inf         -inf         
80           2.00000e+01  -2.87510e+18 1.04705e+16  -1.68842e+16 inf          -inf         -inf         
81           2.02500e+01  -2.87510e+18 1.04705e+16  -1.68842e+16 inf          -inf         -inf         
82           2.05000e+01  -2.87510e+18 1.04705e+16  -1.68842e+16 inf          -inf         -inf         
83           2.07500e+01  -2.87510e+18 1.04705e+16  -1.68842e+16 inf          -inf         -inf         
84           2.10000e+01  -2.87510e+18 1.04705e+16  -1.68842e+16 inf          -inf         -inf         
85           2.12500e+01  -2.87510e+18 1.04705e+16  -1.68842e+16 inf          -inf         -inf         
86           2.15000e+01  -2.87510e+18 1.04705e+16  -1.68842e+16 inf          -inf         -inf         
87           2.17500e+01  -2.87510e+18 1.04705e+16  -1.68842e+16 inf          -inf         -inf         
88           2.20000e+01  -2.87510e+18 1.04705e+16  -1.68842e+16 inf          -inf         -inf         
89           2.22500e+01  -2.87510e+18 1.04705e+16  -1.68842e+16 inf          -inf         -inf         
90           2.25000e+01  -2.87510e+18 1.04705e+16  -1.68842e+16 inf          -inf         -inf         
91           2.27500e+01  -2.87510e+18 1.04705e+16  -1.68842e+16 inf          -inf         -inf         
92           2.30000e+01  -2.87510e+18 1.04705e+16  -1.68842e+16 inf          -inf         -inf         
93           2.32500e+01  -2.87510e+18 1.04705e+16  -1.68842e+16 inf          -inf         -inf         
94           2.35000e+01  -2.87510e+18 1.04705e+16  -1.68842e+16 inf          -inf         -inf         
95           2.37500e+01  -2.87510e+18 1.04705e+16  -1.68842e+16 inf          -inf         -inf         
96           2.40000e+01  -2.87510e+18 1.04705e+16  -1.68842e+16 inf          -inf         -inf         
97           2.42500e+01  -2.87510e+18 1.04705e+16  -1.68842e+16 inf          -inf         -inf         
98           2.45000e+01  -2.87510e+18 1.04705e+16  -1.68842e+16 inf          -inf         -inf         
99           2.47500e+01  -2.87510e+18 1.04705e+16  -1.68842e+16 inf          -inf         -inf         
