#1:iter      2:time       3:P-x-1      4:P-y-1      5:P-z-1      6:P-x-2      7:P-y-2      8:P-z-2      
0            0.00000e+00  3.25700e+00  0.00000e+00  0.00000e+00  -3.25700e+00 0.00000e+00  0.00000e+00  
1            2.50000e-01  3.33578e+00  1.87423e-02  2.38030e-02  -3.14693e+00 -8.39764e-06 9.60133e-04  
2            5.00000e-01  -2.87510e+18 1.04705e+16  -1.68842e+16 -2.67663e+00 1.45047e-05  -1.34512e-02 
3            7.50000e-01  -2.87510e+18 1.04705e+16  -1.68842e+16 inf          -inf         -inf         
4            1.00000e+00  -2.87510e+18 1.04705e+16  -1.68842e+16 inf          -inf         -inf         
5            1.25000e+00  -2.87510e+18 1.04705e+16  -1.68842e+16 inf          -inf         -inf         
6            1.50000e+00  -2.87510e+18 1.04705e+16  -1.68842e+16 inf          -inf         -inf         
7            1.75000e+00  -2.87510e+18 1.04705e+16  -1.68842e+16 inf          -inf         -inf         
8            2.00000e+00  -2.87510e+18 1.04705e+16  -1.68842e+16 inf          -inf         -inf         
9            2.25000e+00  -2.87510e+18 1.04705e+16  -1.68842e+16 inf          -inf         -inf         
10           2.50000e+00  -2.87510e+18 1.04705e+16  -1.68842e+16 inf          -inf         -inf         
11           2.75000e+00  -2.87510e+18 1.04705e+16  -1.68842e+16 inf          -inf         -inf         
12           3.00000e+00  -2.87510e+18 1.04705e+16  -1.68842e+16 inf          -inf         -inf         
13           3.25000e+00  -2.87510e+18 1.04705e+16  -1.68842e+16 inf          -inf         -inf         
14           3.50000e+00  -2.87510e+18 1.04705e+16  -1.68842e+16 inf          -inf         -inf         
15           3.75000e+00  -2.87510e+18 1.04705e+16  -1.68842e+16 inf          -inf         -inf         
16           4.00000e+00  -2.87510e+18 1.04705e+16  -1.68842e+16 inf          -inf         -inf         
17           4.25000e+00  -2.87510e+18 1.04705e+16  -1.68842e+16 inf          -inf         -inf         
18           4.50000e+00  -2.87510e+18 1.04705e+16  -1.68842e+16 inf          -inf         -inf         
19           4.75000e+00  -2.87510e+18 1.04705e+16  -1.68842e+16 inf          -inf         -inf         
20           5.00000e+00  -2.87510e+18 1.04705e+16  -1.68842e+16 inf          -inf         -inf         
21           5.25000e+00  -2.87510e+18 1.04705e+16  -1.68842e+16 inf          -inf         -inf         
22           5.50000e+00  -2.87510e+18 1.04705e+16  -1.68842e+16 inf          -inf         -inf         
23           5.75000e+00  -2.87510e+18 1.04705e+16  -1.68842e+16 inf          -inf         -inf         
24           6.00000e+00  -2.87510e+18 1.04705e+16  -1.68842e+16 inf          -inf         -inf         
25           6.25000e+00  -2.87510e+18 1.04705e+16  -1.68842e+16 inf          -inf         -inf         
26           6.50000e+00  -2.87510e+18 1.04705e+16  -1.68842e+16 inf          -inf         -inf         
27           6.75000e+00  -2.87510e+18 1.04705e+16  -1.68842e+16 inf          -inf         -inf         
28           7.00000e+00  -2.87510e+18 1.04705e+16  -1.68842e+16 inf          -inf         -inf         
29           7.25000e+00  -2.87510e+18 1.04705e+16  -1.68842e+16 inf          -inf         -inf         
30           7.50000e+00  -2.87510e+18 1.04705e+16  -1.68842e+16 inf          -inf         -inf         
31           7.75000e+00  -2.87510e+18 1.04705e+16  -1.68842e+16 inf          -inf         -inf         
32           8.00000e+00  -2.87510e+18 1.04705e+16  -1.68842e+16 inf          -inf         -inf         
33           8.25000e+00  -2.87510e+18 1.04705e+16  -1.68842e+16 inf          -inf         -inf         
34           8.50000e+00  -2.87510e+18 1.04705e+16  -1.68842e+16 inf          -inf         -inf         
35           8.75000e+00  -2.87510e+18 1.04705e+16  -1.68842e+16 inf          -inf         -inf         
36           9.00000e+00  -2.87510e+18 1.04705e+16  -1.68842e+16 inf          -inf         -inf         
37           9.25000e+00  -2.87510e+18 1.04705e+16  -1.68842e+16 inf          -inf         -inf         
38           9.50000e+00  -2.87510e+18 1.04705e+16  -1.68842e+16 inf          -inf         -inf         
39           9.75000e+00  -2.87510e+18 1.04705e+16  -1.68842e+16 inf          -inf         -inf         
40           1.00000e+01  -2.87510e+18 1.04705e+16  -1.68842e+16 inf          -inf         -inf         
41           1.02500e+01  -2.87510e+18 1.04705e+16  -1.68842e+16 inf          -inf         -inf         
42           1.05000e+01  -2.87510e+18 1.04705e+16  -1.68842e+16 inf          -inf         -inf         
43           1.07500e+01  -2.87510e+18 1.04705e+16  -1.68842e+16 inf          -inf         -inf         
44           1.10000e+01  -2.87510e+18 1.04705e+16  -1.68842e+16 inf          -inf         -inf         
45           1.12500e+01  -2.87510e+18 1.04705e+16  -1.68842e+16 inf          -inf         -inf         
46           1.15000e+01  -2.87510e+18 1.04705e+16  -1.68842e+16 inf          -inf         -inf         
