! the number of species must be specified in compilation time (NSCALARS)
!          charge    enumber of atoms
! species    e  H  He C  N  O  Si S  Fe Na Mg Cl P  F 
! neutrals
H            0  1  0  0  0  0  0  0  0  0  0  0  0  0 
H2           0  2  0  0  0  0  0  0  0  0  0  0  0  0 
He           0  0  1  0  0  0  0  0  0  0  0  0  0  0 
C            0  0  0  1  0  0  0  0  0  0  0  0  0  0 
CH           0  1  0  1  0  0  0  0  0  0  0  0  0  0 
CH2          0  2  0  1  0  0  0  0  0  0  0  0  0  0 
CH3          0  3  0  1  0  0  0  0  0  0  0  0  0  0 
CH4          0  4  0  1  0  0  0  0  0  0  0  0  0  0 
N            0  0  0  0  1  0  0  0  0  0  0  0  0  0 
N2           0  0  0  0  2  0  0  0  0  0  0  0  0  0 
NH           0  1  0  0  1  0  0  0  0  0  0  0  0  0 
NH2          0  2  0  0  1  0  0  0  0  0  0  0  0  0 
NH3          0  3  0  0  1  0  0  0  0  0  0  0  0  0 
O            0  0  0  0  0  1  0  0  0  0  0  0  0  0 
O2           0  0  0  0  0  2  0  0  0  0  0  0  0  0 
OH           0  1  0  0  0  1  0  0  0  0  0  0  0  0 
H2O          0  2  0  0  0  1  0  0  0  0  0  0  0  0 
CN           0  0  0  1  1  0  0  0  0  0  0  0  0  0 
HCN          0  1  0  1  1  0  0  0  0  0  0  0  0  0 
HNC          0  1  0  1  1  0  0  0  0  0  0  0  0  0 
HCO          0  1  0  1  0  1  0  0  0  0  0  0  0  0 
HNO          0  1  0  0  1  1  0  0  0  0  0  0  0  0 
NO           0  0  0  0  1  1  0  0  0  0  0  0  0  0 
CO           0  0  0  1  0  1  0  0  0  0  0  0  0  0 
CO2          0  0  0  1  0  2  0  0  0  0  0  0  0  0 
Mg           0  0  0  0  0  0  0  0  0  0  1  0  0  0 
Fe           0  0  0  0  0  0  0  0  1  0  0  0  0  0 
! PAHs
PAH0         0  15 0  35 0  0  0  0  0  0  0  0  0  0 
PAH+         1  15 0  35 0  0  0  0  0  0  0  0  0  0 
PAH-        -1  15 0  35 0  0  0  0  0  0  0  0  0  0 
! grain
g0           0  0  0  0  0  0  0  0  0  0  0  0  0  0 
g+           1  0  0  0  0  0  0  0  0  0  0  0  0  0 
g-          -1  0  0  0  0  0  0  0  0  0  0  0  0  0 
! grain surface
sC           0  0  0  1  0  0  0  0  0  0  0  0  0  0 
sCH          0  1  0  1  0  0  0  0  0  0  0  0  0  0 
sCH2         0  2  0  1  0  0  0  0  0  0  0  0  0  0 
sCH3         0  3  0  1  0  0  0  0  0  0  0  0  0  0 
sCH4         0  4  0  1  0  0  0  0  0  0  0  0  0  0 
sN           0  0  0  0  1  0  0  0  0  0  0  0  0  0 
sN2          0  0  0  0  2  0  0  0  0  0  0  0  0  0 
sNH          0  1  0  0  1  0  0  0  0  0  0  0  0  0 
sNH2         0  2  0  0  1  0  0  0  0  0  0  0  0  0 
sNH3         0  3  0  0  1  0  0  0  0  0  0  0  0  0 
sO           0  0  0  0  0  1  0  0  0  0  0  0  0  0 
sO2          0  0  0  0  0  2  0  0  0  0  0  0  0  0 
sOH          0  1  0  0  0  1  0  0  0  0  0  0  0  0 
sH2O         0  2  0  0  0  1  0  0  0  0  0  0  0  0 
sCN          0  0  0  1  1  0  0  0  0  0  0  0  0  0 
sHCN         0  1  0  1  1  0  0  0  0  0  0  0  0  0 
sHNC         0  1  0  1  1  0  0  0  0  0  0  0  0  0 
sHCO         0  1  0  1  0  1  0  0  0  0  0  0  0  0 
sHNO         0  1  0  0  1  1  0  0  0  0  0  0  0  0 
sNO          0  0  0  0  1  1  0  0  0  0  0  0  0  0 
sCO          0  0  0  1  0  1  0  0  0  0  0  0  0  0 
sCO2         0  0  0  1  0  2  0  0  0  0  0  0  0  0 
sMg          0  0  0  0  0  0  0  0  0  0  1  0  0  0 
sFe          0  0  0  0  0  0  0  0  1  0  0  0  0  0 
sPAH         0  15 0  35 0  0  0  0  0  0  0  0  0  0 
! ions
H+           1  1  0  0  0  0  0  0  0  0  0  0  0  0 
H2+          1  2  0  0  0  0  0  0  0  0  0  0  0  0 
H3+          1  3  0  0  0  0  0  0  0  0  0  0  0  0 
He+          1  0  1  0  0  0  0  0  0  0  0  0  0  0 
C+           1  0  0  1  0  0  0  0  0  0  0  0  0  0 
CH+          1  1  0  1  0  0  0  0  0  0  0  0  0  0 
CH2+         1  2  0  1  0  0  0  0  0  0  0  0  0  0 
CH3+         1  3  0  1  0  0  0  0  0  0  0  0  0  0 
CH4+         1  4  0  1  0  0  0  0  0  0  0  0  0  0 
CH5+         1  5  0  1  0  0  0  0  0  0  0  0  0  0 
N+           1  0  0  0  1  0  0  0  0  0  0  0  0  0 
N2+          1  0  0  0  2  0  0  0  0  0  0  0  0  0 
N2H+         1  1  0  0  2  0  0  0  0  0  0  0  0  0 
NH+          1  1  0  0  1  0  0  0  0  0  0  0  0  0 
NH2+         1  2  0  0  1  0  0  0  0  0  0  0  0  0 
NH3+         1  3  0  0  1  0  0  0  0  0  0  0  0  0 
NH4+         1  4  0  0  1  0  0  0  0  0  0  0  0  0 
O+           1  0  0  0  0  1  0  0  0  0  0  0  0  0 
O2+          1  0  0  0  0  2  0  0  0  0  0  0  0  0 
HO2+         1  1  0  0  0  2  0  0  0  0  0  0  0  0 
OH+          1  1  0  0  0  1  0  0  0  0  0  0  0  0 
H2O+         1  2  0  0  0  1  0  0  0  0  0  0  0  0 
H3O+         1  3  0  0  0  1  0  0  0  0  0  0  0  0 
CN+          1  0  0  1  1  0  0  0  0  0  0  0  0  0 
HCN+         1  1  0  1  1  0  0  0  0  0  0  0  0  0 
HNC+         1  1  0  1  1  0  0  0  0  0  0  0  0  0 
HCNH+        1  2  0  1  1  0  0  0  0  0  0  0  0  0 
H2NC+        1  2  0  1  1  0  0  0  0  0  0  0  0  0 
CO+          1  0  0  1  0  1  0  0  0  0  0  0  0  0 
CO2+         1  0  0  1  0  2  0  0  0  0  0  0  0  0 
HCO+         1  1  0  1  0  1  0  0  0  0  0  0  0  0 
HOCO+        1  1  0  1  0  2  0  0  0  0  0  0  0  0 
NO+          1  0  0  0  1  1  0  0  0  0  0  0  0  0 
HNO+         1  1  0  0  1  1  0  0  0  0  0  0  0  0 
Mg+          1  0  0  0  0  0  0  0  0  0  1  0  0  0 
Fe+          1  0  0  0  0  0  0  0  1  0  0  0  0  0 
! electron
e-          -1  0  0  0  0  0  0  0  0  0  0  0  0  0 
